sequence_index,task_id,task_name,process_id,process_name,operated_objects,operated_object_names,task_obb_center,required_resources,generation_rule,inference_explanation
107,Task_制连接孔_Part_1_39_5536C14006G71_5536C14006G71_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,制连接孔_Part_1_39_5536C14006G71_5536C14006G71_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,PROC_制连接孔,制连接孔,Part_1_39_5536C14006G71_5536C14006G71_1;SubAssembly_1_30_5536C11006G41_5536C11006G41,5536C14006G71 3号连接带板;5536C11006G41 右侧2号夹芯板,37.280209275;3.878635571;-0.185932075,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
108,Task_制连接孔_Part_1_38_5536C14005G71_5536C14005G71_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,制连接孔_Part_1_38_5536C14005G71_5536C14005G71_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,PROC_制连接孔,制连接孔,Part_1_38_5536C14005G71_5536C14005G71_1;SubAssembly_1_29_5536C11005G41_5536C11005G41,5536C14005G71 3号连接带板;5536C11005G41 左侧2号夹芯板,37.280209275;3.878635571;0.185932075,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
109,Task_制连接孔_Part_1_13_5536C10403G71_5536C10403G71_1_Part_1_14_5536C10411G72_5536C10411G72_1,制连接孔_Part_1_13_5536C10403G71_5536C10403G71_1_Part_1_14_5536C10411G72_5536C10411G72_1,PROC_制连接孔,制连接孔,Part_1_13_5536C10403G71_5536C10403G71_1;Part_1_14_5536C10411G72_5536C10411G72_1,5536C10403G71 4号肋角材;5536C10411G72 4号肋,37.955662888;4.749741594;-0.000250759,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
110,Task_制连接孔_Part_1_14_5536C10411G72_5536C10411G72_1_Part_1_16_5536C10414G72_5536C10414G72_1,制连接孔_Part_1_14_5536C10411G72_5536C10411G72_1_Part_1_16_5536C10414G72_5536C10414G72_1,PROC_制连接孔,制连接孔,Part_1_14_5536C10411G72_5536C10411G72_1;Part_1_16_5536C10414G72_5536C10414G72_1,5536C10411G72 4号肋;5536C10414G72 4号肋缘条,37.875288475;4.817233282;-0.07010992,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
111,Task_制连接孔_Part_1_14_5536C10411G72_5536C10411G72_1_Part_1_15_5536C10413G72_5536C10413G72_1,制连接孔_Part_1_14_5536C10411G72_5536C10411G72_1_Part_1_15_5536C10413G72_5536C10413G72_1,PROC_制连接孔,制连接孔,Part_1_14_5536C10411G72_5536C10411G72_1;Part_1_15_5536C10413G72_5536C10413G72_1,5536C10411G72 4号肋;5536C10413G72 4号肋缘条,37.875288475;4.817233282;0.069608402,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
112,Task_制连接孔_Part_1_14_5536C10411G72_5536C10411G72_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,制连接孔_Part_1_14_5536C10411G72_5536C10411G72_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,PROC_制连接孔,制连接孔,Part_1_14_5536C10411G72_5536C10411G72_1;SubAssembly_1_30_5536C11006G41_5536C11006G41,5536C10411G72 4号肋;5536C11006G41 右侧2号夹芯板,37.415113917;4.222310264;-0.09125147,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
113,Task_制连接孔_Part_1_14_5536C10411G72_5536C10411G72_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,制连接孔_Part_1_14_5536C10411G72_5536C10411G72_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,PROC_制连接孔,制连接孔,Part_1_14_5536C10411G72_5536C10411G72_1;SubAssembly_1_29_5536C11005G41_5536C11005G41,5536C10411G72 4号肋;5536C11005G41 左侧2号夹芯板,37.415113917;4.222310264;0.090749953,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
114,Task_制连接孔_Part_1_16_5536C10414G72_5536C10414G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,制连接孔_Part_1_16_5536C10414G72_5536C10414G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,PROC_制连接孔,制连接孔,Part_1_16_5536C10414G72_5536C10414G72_1;SubAssembly_1_32_5536C11008G41_5536C11008G41,5536C10414G72 4号肋缘条;5536C11008G41 右侧3号夹芯板,38.342537817;5.454963232;-0.126257488,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
115,Task_制连接孔_Part_1_15_5536C10413G72_5536C10413G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,制连接孔_Part_1_15_5536C10413G72_5536C10413G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,PROC_制连接孔,制连接孔,Part_1_15_5536C10413G72_5536C10413G72_1;SubAssembly_1_31_5536C11007G41_5536C11007G41,5536C10413G72 4号肋缘条;5536C11007G41 左侧3号夹芯板,38.342537817;5.454963232;0.126257488,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
116,Task_制连接孔_Part_1_41_5536C14008G71_5536C14008G71_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,制连接孔_Part_1_41_5536C14008G71_5536C14008G71_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,PROC_制连接孔,制连接孔,Part_1_41_5536C14008G71_5536C14008G71_1;SubAssembly_1_32_5536C11008G41_5536C11008G41,5536C14008G71 4号连接带板;5536C11008G41 右侧3号夹芯板,38.565896034;5.610310394;-0.134746097,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
117,Task_制连接孔_Part_1_40_5536C14007G71_5536C14007G71_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,制连接孔_Part_1_40_5536C14007G71_5536C14007G71_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,PROC_制连接孔,制连接孔,Part_1_40_5536C14007G71_5536C14007G71_1;SubAssembly_1_31_5536C11007G41_5536C11007G41,5536C14007G71 4号连接带板;5536C11007G41 左侧3号夹芯板,38.565896034;5.610310395;0.134746097,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
118,Task_制连接孔_Part_1_17_5536C10503G71_5536C10503G70_1_Part_1_18_5536C10511G72_5536C10511G72_1,制连接孔_Part_1_17_5536C10503G71_5536C10503G70_1_Part_1_18_5536C10511G72_5536C10511G72_1,PROC_制连接孔,制连接孔,Part_1_17_5536C10503G71_5536C10503G70_1;Part_1_18_5536C10511G72_5536C10511G72_1,5536C10503G71 5号肋角材;5536C10511G72 5号肋,38.57307566;5.589433914;-2.552e-06,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
119,Task_制连接孔_Part_1_18_5536C10511G72_5536C10511G72_1_Part_1_19_5536C10513G70_5536C10513G70_1,制连接孔_Part_1_18_5536C10511G72_5536C10511G72_1_Part_1_19_5536C10513G70_5536C10513G70_1,PROC_制连接孔,制连接孔,Part_1_18_5536C10511G72_5536C10511G72_1;Part_1_19_5536C10513G70_5536C10513G70_1,5536C10511G72 5号肋;5536C10513G70 角片,38.418336098;5.704773088;0.027988035,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
120,Task_制连接孔_Part_1_18_5536C10511G72_5536C10511G72_1_Part_1_20_5536C10514G70_5536C10514G70_1,制连接孔_Part_1_18_5536C10511G72_5536C10511G72_1_Part_1_20_5536C10514G70_5536C10514G70_1,PROC_制连接孔,制连接孔,Part_1_18_5536C10511G72_5536C10511G72_1;Part_1_20_5536C10514G70_5536C10514G70_1,5536C10511G72 5号肋;5536C10514G70 角片,38.418336098;5.704773088;-0.027993138,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
121,Task_制连接孔_Part_1_18_5536C10511G72_5536C10511G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,制连接孔_Part_1_18_5536C10511G72_5536C10511G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,PROC_制连接孔,制连接孔,Part_1_18_5536C10511G72_5536C10511G72_1;SubAssembly_1_32_5536C11008G41_5536C11008G41,5536C10511G72 5号肋;5536C11008G41 右侧3号夹芯板,38.657023582;5.862179067;-0.056400878,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
122,Task_制连接孔_Part_1_18_5536C10511G72_5536C10511G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,制连接孔_Part_1_18_5536C10511G72_5536C10511G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,PROC_制连接孔,制连接孔,Part_1_18_5536C10511G72_5536C10511G72_1;SubAssembly_1_31_5536C11007G41_5536C11007G41,5536C10511G72 5号肋;5536C11007G41 左侧3号夹芯板,38.657023582;5.862179067;0.056395775,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
123,Task_制连接孔_Part_1_43_5536C14010G71_5536C14010G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,制连接孔_Part_1_43_5536C14010G71_5536C14010G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,PROC_制连接孔,制连接孔,Part_1_43_5536C14010G71_5536C14010G72_1;SubAssembly_1_32_5536C11008G41_5536C11008G41,5536C14010G71 5号连接带板;5536C11008G41 右侧3号夹芯板,38.921214056;6.110605112;-0.118383106,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
124,Task_制连接孔_Part_1_42_5536C14009G71_5536C14009G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,制连接孔_Part_1_42_5536C14009G71_5536C14009G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,PROC_制连接孔,制连接孔,Part_1_42_5536C14009G71_5536C14009G72_1;SubAssembly_1_31_5536C11007G41_5536C11007G41,5536C14009G71 5号连接带板;5536C11007G41 左侧3号夹芯板,38.921214056;6.110605112;0.118383106,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
125,Task_制连接孔_Part_1_21_5536C10603G71_5536C10603G71_1_Part_1_22_5536C10611G72_5536C10611G72_1,制连接孔_Part_1_21_5536C10603G71_5536C10603G71_1_Part_1_22_5536C10611G72_5536C10611G72_1,PROC_制连接孔,制连接孔,Part_1_21_5536C10603G71_5536C10603G71_1;Part_1_22_5536C10611G72_5536C10611G72_1,5536C10603G71 6号肋角材;5536C10611G72 6号肋,39.407126492;6.729302456;-1.439e-06,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
126,Task_制连接孔_Part_1_22_5536C10611G72_5536C10611G72_1_Part_1_23_5536C10613G70_5536C10613G70_1,制连接孔_Part_1_22_5536C10611G72_5536C10611G72_1_Part_1_23_5536C10613G70_5536C10613G70_1,PROC_制连接孔,制连接孔,Part_1_22_5536C10611G72_5536C10611G72_1;Part_1_23_5536C10613G70_5536C10613G70_1,5536C10611G72 6号肋;5536C10613G70 角片,39.286615933;6.820983567;0.015553826,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
127,Task_制连接孔_Part_1_22_5536C10611G72_5536C10611G72_1_Part_1_24_5536C10614G70_5536C10614G70_1,制连接孔_Part_1_22_5536C10611G72_5536C10611G72_1_Part_1_24_5536C10614G70_5536C10614G70_1,PROC_制连接孔,制连接孔,Part_1_22_5536C10611G72_5536C10611G72_1;Part_1_24_5536C10614G70_5536C10614G70_1,5536C10611G72 6号肋;5536C10614G70 角片,39.286615933;6.820983567;-0.015556704,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
128,Task_制连接孔_Part_1_22_5536C10611G72_5536C10611G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,制连接孔_Part_1_22_5536C10611G72_5536C10611G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,PROC_制连接孔,制连接孔,Part_1_22_5536C10611G72_5536C10611G72_1;SubAssembly_1_32_5536C11008G41_5536C11008G41,5536C10611G72 6号肋;5536C11008G41 右侧3号夹芯板,39.082247118;6.42623018;-0.056399765,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
129,Task_制连接孔_Part_1_22_5536C10611G72_5536C10611G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,制连接孔_Part_1_22_5536C10611G72_5536C10611G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,PROC_制连接孔,制连接孔,Part_1_22_5536C10611G72_5536C10611G72_1;SubAssembly_1_31_5536C11007G41_5536C11007G41,5536C10611G72 6号肋;5536C11007G41 左侧3号夹芯板,39.082247118;6.42623018;0.056396888,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
130,Task_制连接孔_Part_1_45_5536C14012G71_5536C14012G71_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,制连接孔_Part_1_45_5536C14012G71_5536C14012G71_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,PROC_制连接孔,制连接孔,Part_1_45_5536C14012G71_5536C14012G71_1;SubAssembly_1_32_5536C11008G41_5536C11008G41,5536C14012G71 6号连接带板;5536C11008G41 右侧3号夹芯板,39.279501115;6.615367715;-0.102235976,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
131,Task_制连接孔_Part_1_44_5536C14011G71_5536C14011G71_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,制连接孔_Part_1_44_5536C14011G71_5536C14011G71_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,PROC_制连接孔,制连接孔,Part_1_44_5536C14011G71_5536C14011G71_1;SubAssembly_1_31_5536C11007G41_5536C11007G41,5536C14011G71 6号连接带板;5536C11007G41 左侧3号夹芯板,39.279501115;6.615367715;0.102235976,钻具,connect_and_both_require_connection_hole,两端对象存在 connect，且两端都 requireProcess 制连接孔，因此生成制连接孔任务。
132,Task_安装紧固件_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,Part_1_2_5536C10101G71_5536C10101G71_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10101G71 1号肋;5536C12000G42 辅助梁组件,36.511823622;3.299726413;0.022108493,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
133,Task_安装紧固件_Part_1_4_5536C10105G71_5536C10105G71_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_Part_1_4_5536C10105G71_5536C10105G71_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,Part_1_4_5536C10105G71_5536C10105G71_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10105G71 1号肋;5536C12000G42 辅助梁组件,36.527105467;3.301860876;-0.102756501,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
134,Task_安装紧固件_Part_1_6_5536C10211G71_5536C10211G71_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_Part_1_6_5536C10211G71_5536C10211G71_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,Part_1_6_5536C10211G71_5536C10211G71_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10211G71 2号肋;5536C12000G42 辅助梁组件,36.740220882;3.524735726;-0.002652678,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
135,Task_安装紧固件_Part_1_8_5536C10214G70_5536C10214G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_Part_1_8_5536C10214G70_5536C10214G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,Part_1_8_5536C10214G70_5536C10214G70_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10214G70 2号肋缘条;5536C12000G42 辅助梁组件,36.742290468;3.530835809;-0.101709147,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
136,Task_安装紧固件_Part_1_7_5536C10213G70_5536C10213G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_Part_1_7_5536C10213G70_5536C10213G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,Part_1_7_5536C10213G70_5536C10213G70_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10213G70 2号肋缘条;5536C12000G42 辅助梁组件,36.742290468;3.530835809;0.101735964,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
137,Task_安装紧固件_Part_1_10_5536C10311G72_5536C10311G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_Part_1_10_5536C10311G72_5536C10311G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,Part_1_10_5536C10311G72_5536C10311G72_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10311G72 3号肋;5536C12000G42 辅助梁组件,37.184251727;4.100937668;-0.000510582,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
138,Task_安装紧固件_Part_1_11_5536C10313G70_5536C10313G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_Part_1_11_5536C10313G70_5536C10313G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,Part_1_11_5536C10313G70_5536C10313G70_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10313G70 角片;5536C12000G42 辅助梁组件,37.063675819;4.188581611;0.047932073,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
139,Task_安装紧固件_Part_1_12_5536C10314G70_5536C10314G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_Part_1_12_5536C10314G70_5536C10314G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,Part_1_12_5536C10314G70_5536C10314G70_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10314G70 角片;5536C12000G42 辅助梁组件,37.063675819;4.188581611;-0.047905257,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
140,Task_安装紧固件_Part_1_14_5536C10411G72_5536C10411G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_Part_1_14_5536C10411G72_5536C10411G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,Part_1_14_5536C10411G72_5536C10411G72_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10411G72 4号肋;5536C12000G42 辅助梁组件,37.599843037;4.661151543;-0.000237351,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
141,Task_安装紧固件_Part_1_16_5536C10414G72_5536C10414G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_Part_1_16_5536C10414G72_5536C10414G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,Part_1_16_5536C10414G72_5536C10414G72_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10414G72 4号肋缘条;5536C12000G42 辅助梁组件,37.60127801;4.668564586;-0.069845753,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
142,Task_安装紧固件_Part_1_15_5536C10413G72_5536C10413G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_Part_1_15_5536C10413G72_5536C10413G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,Part_1_15_5536C10413G72_5536C10413G72_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10413G72 4号肋缘条;5536C12000G42 辅助梁组件,37.60127801;4.668564586;0.069872569,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
143,Task_安装紧固件_Part_1_18_5536C10511G72_5536C10511G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_Part_1_18_5536C10511G72_5536C10511G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,Part_1_18_5536C10511G72_5536C10511G72_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10511G72 5号肋;5536C12000G42 辅助梁组件,37.915763775;5.075780421;1.0857e-05,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
144,Task_安装紧固件_Part_1_19_5536C10513G70_5536C10513G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_Part_1_19_5536C10513G70_5536C10513G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,Part_1_19_5536C10513G70_5536C10513G70_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10513G70 角片;5536C12000G42 辅助梁组件,37.828404895;5.141475515;0.028003995,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
145,Task_安装紧固件_Part_1_20_5536C10514G70_5536C10514G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_Part_1_20_5536C10514G70_5536C10514G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,Part_1_20_5536C10514G70_5536C10514G70_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10514G70 角片;5536C12000G42 辅助梁组件,37.828404895;5.141475515;-0.027977178,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
146,Task_安装紧固件_Part_1_22_5536C10611G72_5536C10611G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_Part_1_22_5536C10611G72_5536C10611G72_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,Part_1_22_5536C10611G72_5536C10611G72_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10611G72 6号肋;5536C12000G42 辅助梁组件,38.340987311;5.639831534;1.1969e-05,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
147,Task_安装紧固件_Part_1_23_5536C10613G70_5536C10613G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_Part_1_23_5536C10613G70_5536C10613G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,Part_1_23_5536C10613G70_5536C10613G70_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10613G70 角片;5536C12000G42 辅助梁组件,38.271461193;5.69363488;0.015568674,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
148,Task_安装紧固件_Part_1_24_5536C10614G70_5536C10614G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_Part_1_24_5536C10614G70_5536C10614G70_1_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,Part_1_24_5536C10614G70_5536C10614G70_1;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C10614G70 角片;5536C12000G42 辅助梁组件,38.271461193;5.69363488;-0.015541857,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
149,Task_安装紧固件_SubAssembly_1_32_5536C11008G41_5536C11008G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_SubAssembly_1_32_5536C11008G41_5536C11008G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,SubAssembly_1_32_5536C11008G41_5536C11008G41;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C11008G41 右侧3号夹芯板;5536C12000G42 辅助梁组件,38.067092379;5.298881494;-0.056384918,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
150,Task_安装紧固件_SubAssembly_1_31_5536C11007G41_5536C11007G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_SubAssembly_1_31_5536C11007G41_5536C11007G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,SubAssembly_1_31_5536C11007G41_5536C11007G41;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C11007G41 左侧3号夹芯板;5536C12000G42 辅助梁组件,38.067092379;5.298881494;0.056411735,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
151,Task_安装紧固件_SubAssembly_1_30_5536C11006G41_5536C11006G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_SubAssembly_1_30_5536C11006G41_5536C11006G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,SubAssembly_1_30_5536C11006G41_5536C11006G41;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C11006G41 右侧2号夹芯板;5536C12000G42 辅助梁组件,37.141103452;4.073641568;-0.090987303,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
152,Task_安装紧固件_SubAssembly_1_29_5536C11005G41_5536C11005G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_SubAssembly_1_29_5536C11005G41_5536C11005G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,SubAssembly_1_29_5536C11005G41_5536C11005G41;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C11005G41 左侧2号夹芯板;5536C12000G42 辅助梁组件,37.141103452;4.073641568;0.09101412,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
